sample_id,variant,role,head,set,mass
codecontests_java_1,clean_schema_mismatch,schema_reader,L21H12,tools_payload,0.06130136922001839
codecontests_java_1,clean_schema_mismatch,schema_reader,L21H12,tool_call_tags,0.007292778696864843
codecontests_java_1,clean_schema_mismatch,schema_reader,L21H12,protocol_payload,nan
codecontests_java_1,clean_schema_mismatch,schema_reader,L21H12,user_block,0.13420625030994415
codecontests_java_1,clean_schema_mismatch,schema_reader,L21H12,prefix_16,0.17242100834846497
codecontests_java_1,clean_schema_mismatch,no_tool_reader,L16H4,tools_block,0.03142251819372177
codecontests_java_1,clean_schema_mismatch,no_tool_reader,L16H4,tools_payload,6.470071411968092e-07
codecontests_java_1,clean_schema_mismatch,no_tool_reader,L16H4,tool_call_tags,9.424955351278186e-05
codecontests_java_1,clean_schema_mismatch,no_tool_reader,L16H4,protocol_payload,nan
codecontests_java_1,clean_schema_mismatch,no_tool_reader,L16H4,user_block,0.4879815876483917
codecontests_java_1,clean_schema_mismatch,no_tool_reader,L16H4,prefix_16,0.08304662257432938
codecontests_java_1,clean_no_protocol,query_reader,L2H14,tools_block,0.1435692459344864
codecontests_java_1,clean_no_protocol,query_reader,L2H14,tools_payload,0.0011034655617550015
codecontests_java_1,clean_no_protocol,query_reader,L2H14,tool_call_tags,0.0027741992380470037
codecontests_java_1,clean_no_protocol,query_reader,L2H14,protocol_payload,0.034256596118211746
codecontests_java_1,clean_no_protocol,query_reader,L2H14,user_block,0.2938894033432007
codecontests_java_1,clean_no_protocol,query_reader,L2H14,prefix_16,0.15272127091884613
codecontests_java_1,clean_no_protocol,schema_reader,L21H12,tools_block,0.31288740038871765
codecontests_java_1,clean_no_protocol,schema_reader,L21H12,tools_payload,0.06500273197889328
codecontests_java_1,clean_no_protocol,schema_reader,L21H12,tool_call_tags,0.024165097624063492
codecontests_java_1,clean_no_protocol,schema_reader,L21H12,protocol_payload,0.2030385583639145
codecontests_java_1,clean_no_protocol,schema_reader,L21H12,user_block,0.09766960144042969
codecontests_java_1,clean_no_protocol,schema_reader,L21H12,prefix_16,0.11556579917669296
codecontests_java_1,clean_no_protocol,no_tool_reader,L16H4,tools_block,0.016792502254247665
codecontests_java_1,clean_no_protocol,no_tool_reader,L16H4,tools_payload,3.786464333188633e-07
codecontests_java_1,clean_no_protocol,no_tool_reader,L16H4,tool_call_tags,3.1486444640904665e-05
codecontests_java_1,clean_no_protocol,no_tool_reader,L16H4,protocol_payload,0.0015069821383804083
codecontests_java_1,clean_no_protocol,no_tool_reader,L16H4,user_block,0.4703301787376404
codecontests_java_1,clean_no_protocol,no_tool_reader,L16H4,prefix_16,0.06681018322706223
mbpp_python_1,clean_full,query_reader,L2H14,tools_block,0.12118344753980637
mbpp_python_1,clean_full,query_reader,L2H14,tools_payload,0.0006552122067660093
mbpp_python_1,clean_full,query_reader,L2H14,tool_call_tags,0.004368247464299202
mbpp_python_1,clean_full,query_reader,L2H14,protocol_payload,nan
mbpp_python_1,clean_full,query_reader,L2H14,user_block,0.31524649262428284
mbpp_python_1,clean_full,query_reader,L2H14,prefix_16,0.13302680850028992
mbpp_python_1,clean_full,schema_reader,L21H12,tools_block,0.25894656777381897
mbpp_python_1,clean_full,schema_reader,L21H12,tools_payload,0.050461992621421814
mbpp_python_1,clean_full,schema_reader,L21H12,tool_call_tags,0.02827407419681549
mbpp_python_1,clean_full,schema_reader,L21H12,protocol_payload,nan
mbpp_python_1,clean_full,schema_reader,L21H12,user_block,0.10722397267818451
mbpp_python_1,clean_full,schema_reader,L21H12,prefix_16,0.10889071971178055
mbpp_python_1,clean_full,no_tool_reader,L16H4,tools_block,0.027359221130609512
mbpp_python_1,clean_full,no_tool_reader,L16H4,tools_payload,3.6109217944613192e-06
mbpp_python_1,clean_full,no_tool_reader,L16H4,tool_call_tags,7.266962347785011e-05
mbpp_python_1,clean_full,no_tool_reader,L16H4,protocol_payload,nan
mbpp_python_1,clean_full,no_tool_reader,L16H4,user_block,0.3672194480895996
mbpp_python_1,clean_full,no_tool_reader,L16H4,prefix_16,0.19730694591999054
mbpp_python_1,corrupt_full,query_reader,L2H14,tools_block,0.12859904766082764
mbpp_python_1,corrupt_full,query_reader,L2H14,tools_payload,0.0006741195684298873
mbpp_python_1,corrupt_full,query_reader,L2H14,tool_call_tags,0.004528667777776718
mbpp_python_1,corrupt_full,query_reader,L2H14,protocol_payload,nan
mbpp_python_1,corrupt_full,query_reader,L2H14,user_block,0.2811076045036316
mbpp_python_1,corrupt_full,query_reader,L2H14,prefix_16,0.13899286091327667
mbpp_python_1,corrupt_full,schema_reader,L21H12,tools_block,0.24900078773498535
mbpp_python_1,corrupt_full,schema_reader,L21H12,tools_payload,0.035350169986486435
mbpp_python_1,corrupt_full,schema_reader,L21H12,tool_call_tags,0.015023911371827126
mbpp_python_1,corrupt_full,schema_reader,L21H12,protocol_payload,nan
mbpp_python_1,corrupt_full,schema_reader,L21H12,user_block,0.12715481221675873
mbpp_python_1,corrupt_full,schema_reader,L21H12,prefix_16,0.18451884388923645
mbpp_python_1,corrupt_full,no_tool_reader,L16H4,tools_block,0.0290285125374794
mbpp_python_1,corrupt_full,no_tool_reader,L16H4,tools_payload,3.434628524701111e-06
mbpp_python_1,corrupt_full,no_tool_reader,L16H4,tool_call_tags,5.3673837101086974e-05
mbpp_python_1,corrupt_full,no_tool_reader,L16H4,protocol_payload,nan
mbpp_python_1,corrupt_full,no_tool_reader,L16H4,user_block,0.49721160531044006
mbpp_python_1,corrupt_full,no_tool_reader,L16H4,prefix_16,0.16920273005962372
mbpp_python_1,clean_no_schema,query_reader,L2H14,tools_block,0.03896824270486832
mbpp_python_1,clean_no_schema,query_reader,L2H14,tools_payload,0.0009859123965725303
mbpp_python_1,clean_no_schema,query_reader,L2H14,tool_call_tags,0.004564604256302118
mbpp_python_1,clean_no_schema,query_reader,L2H14,protocol_payload,nan
mbpp_python_1,clean_no_schema,query_reader,L2H14,user_block,0.3246016800403595
mbpp_python_1,clean_no_schema,query_reader,L2H14,prefix_16,0.14726901054382324
mbpp_python_1,clean_no_schema,schema_reader,L21H12,tools_block,0.26073771715164185
mbpp_python_1,clean_no_schema,schema_reader,L21H12,tools_payload,0.049810994416475296
mbpp_python_1,clean_no_schema,schema_reader,L21H12,tool_call_tags,0.019614044576883316
mbpp_python_1,clean_no_schema,schema_reader,L21H12,protocol_payload,nan
mbpp_python_1,clean_no_schema,schema_reader,L21H12,user_block,0.12435832619667053
mbpp_python_1,clean_no_schema,schema_reader,L21H12,prefix_16,0.17436188459396362
mbpp_python_1,clean_no_schema,no_tool_reader,L16H4,tools_block,0.006055562291294336
mbpp_python_1,clean_no_schema,no_tool_reader,L16H4,tools_payload,4.786507815879304e-06
mbpp_python_1,clean_no_schema,no_tool_reader,L16H4,tool_call_tags,7.220661791507155e-05
mbpp_python_1,clean_no_schema,no_tool_reader,L16H4,protocol_payload,nan
mbpp_python_1,clean_no_schema,no_tool_reader,L16H4,user_block,0.3290487229824066
mbpp_python_1,clean_no_schema,no_tool_reader,L16H4,prefix_16,0.2452743947505951
mbpp_python_1,clean_schema_mismatch,query_reader,L2H14,tools_block,0.13680896162986755
mbpp_python_1,clean_schema_mismatch,query_reader,L2H14,tools_payload,0.0011126953177154064
mbpp_python_1,clean_schema_mismatch,query_reader,L2H14,tool_call_tags,0.004385341890156269
