sample_id,base_variant,candidate,source_rescue,blocked_rescue,mlp27_mediated_rescue,blocked_retained_fraction,source_tool_top1,blocked_tool_top1,source_boundary_flip,blocked_boundary_flip
codecontests_java_1,corrupt_full,MLP16,0.5665024630541872,0.3399014778325123,0.22660098522167488,0.6,False,False,False,False
codecontests_java_1,corrupt_full,L23H6,0.6527093596059114,0.3399014778325123,0.3128078817733991,0.520754716981132,False,False,False,False
codecontests_java_1,corrupt_full,L17H8,0.3645320197044335,0.16748768472906403,0.19704433497536947,0.45945945945945943,False,False,False,False
codecontests_java_1,clean_no_schema,MLP27,0.7136699507389163,0.0,0.7136699507389163,0.0,False,False,False,False
codecontests_java_1,clean_no_schema,L24H6,0.6330049261083743,0.31773399014778325,0.3152709359605911,0.5019455252918288,False,False,False,False
codecontests_java_1,clean_no_schema,L21H12,0.7781711822660099,0.45566502463054187,0.322506157635468,0.5855588526211671,True,False,True,False
codecontests_java_1,clean_no_schema,L21H1,0.6379310344827587,0.3054187192118227,0.332512315270936,0.47876447876447875,False,False,False,False
codecontests_java_1,clean_no_schema,MLP19,0.6693349753694581,0.3891625615763547,0.28017241379310337,0.5814167433302668,False,False,False,False
codecontests_java_1,clean_no_schema,MLP16,0.4852216748768473,0.2955665024630542,0.1896551724137931,0.6091370558375635,False,False,False,False
codecontests_java_1,clean_no_schema,L23H6,0.6083743842364532,0.30049261083743845,0.30788177339901474,0.49392712550607293,False,False,False,False
codecontests_java_1,clean_no_schema,L17H8,0.3399014778325123,0.1724137931034483,0.167487684729064,0.5072463768115942,False,False,False,False
codecontests_java_1,clean_schema_mismatch,MLP27,0.9861453201970444,0.0,0.9861453201970444,0.0,True,False,True,False
codecontests_java_1,clean_schema_mismatch,L24H6,0.7992610837438424,0.3891625615763547,0.4100985221674877,0.4869029275808937,False,False,False,False
codecontests_java_1,clean_schema_mismatch,L21H12,1.0224753694581281,0.5812807881773399,0.44119458128078826,0.5685034628124058,True,False,True,False
codecontests_java_1,clean_schema_mismatch,L21H1,0.8251231527093597,0.41379310344827586,0.4113300492610838,0.5014925373134328,False,False,False,False
codecontests_java_1,clean_schema_mismatch,MLP19,0.28078817733990147,0.1724137931034483,0.10837438423645318,0.6140350877192983,False,False,False,False
codecontests_java_1,clean_schema_mismatch,MLP16,0.11822660098522167,0.10344827586206896,0.014778325123152705,0.875,False,False,False,False
codecontests_java_1,clean_schema_mismatch,L23H6,0.6995073891625616,0.3399014778325123,0.3596059113300493,0.48591549295774644,False,False,False,False
codecontests_java_1,clean_schema_mismatch,L17H8,0.3103448275862069,0.15763546798029557,0.15270935960591134,0.5079365079365079,False,False,False,False
codecontests_java_1,clean_no_protocol,MLP27,0.7410714285714286,0.0,0.7410714285714286,0.0,True,False,True,False
codecontests_java_1,clean_no_protocol,L24H6,0.5086206896551724,0.25862068965517243,0.24999999999999994,0.5084745762711865,False,False,False,False
codecontests_java_1,clean_no_protocol,L21H12,0.6865763546798029,0.4236453201970443,0.2629310344827586,0.6170403587443946,False,False,False,False
codecontests_java_1,clean_no_protocol,L21H1,0.6508620689655172,0.3645320197044335,0.28633004926108374,0.5600756859035004,False,False,False,False
codecontests_java_1,clean_no_protocol,MLP19,-0.10837438423645321,-0.06403940886699508,-0.04433497536945813,0.5909090909090909,False,False,False,False
codecontests_java_1,clean_no_protocol,MLP16,-0.270935960591133,-0.11330049261083744,-0.15763546798029557,0.41818181818181815,False,False,False,False
codecontests_java_1,clean_no_protocol,L23H6,0.43103448275862066,0.25862068965517243,0.17241379310344823,0.6000000000000001,False,False,False,False
codecontests_java_1,clean_no_protocol,L17H8,0.1477832512315271,0.06896551724137931,0.0788177339901478,0.4666666666666666,False,False,False,False
mbpp_python_1,corrupt_full,MLP27,0.7169117647058824,0.0,0.7169117647058824,0.0,False,False,False,False
mbpp_python_1,corrupt_full,L24H6,0.39950980392156865,0.13725490196078433,0.2622549019607843,0.34355828220858897,False,False,False,False
mbpp_python_1,corrupt_full,L21H12,0.3382352941176471,0.13725490196078433,0.20098039215686275,0.4057971014492754,False,False,False,False
mbpp_python_1,corrupt_full,L21H1,0.6666666666666666,0.3382352941176471,0.32843137254901955,0.5073529411764707,False,False,False,False
mbpp_python_1,corrupt_full,MLP19,0.43137254901960786,0.3382352941176471,0.09313725490196079,0.7840909090909091,False,False,False,False
mbpp_python_1,corrupt_full,MLP16,0.5833333333333334,0.3382352941176471,0.2450980392156863,0.5798319327731093,False,False,False,False
mbpp_python_1,corrupt_full,L23H6,0.42892156862745096,0.20588235294117646,0.2230392156862745,0.48,False,False,False,False
mbpp_python_1,corrupt_full,L17H8,0.553921568627451,0.2696078431372549,0.2843137254901961,0.4867256637168141,False,False,False,False
mbpp_python_1,clean_no_schema,MLP27,-0.021139705882352942,0.0,-0.021139705882352942,-0.0,True,False,True,False
mbpp_python_1,clean_no_schema,L24H6,0.00045955882352941176,0.005667892156862745,-0.005208333333333333,12.333333333333334,True,True,True,True
mbpp_python_1,clean_no_schema,L21H12,0.02217371323529412,0.014629289215686275,0.007544424019607844,0.6597582037996546,True,True,True,True
mbpp_python_1,clean_no_schema,L21H1,0.023782169117647058,0.022020526960784315,0.0017616421568627423,0.925925925925926,True,True,True,True
mbpp_python_1,clean_no_schema,MLP19,0.01884191176470588,0.023111979166666668,-0.0042700674019607865,1.2266260162601628,True,True,True,True
mbpp_python_1,clean_no_schema,MLP16,0.0157015931372549,0.011412377450980392,0.00428921568627451,0.7268292682926829,True,True,True,True
mbpp_python_1,clean_no_schema,L23H6,0.020143995098039217,0.010876225490196078,0.009267769607843139,0.5399239543726235,True,True,True,True
mbpp_python_1,clean_no_schema,L17H8,0.02318857230392157,0.023207720588235295,-1.9148284313725422e-05,1.000825763831544,True,True,True,True
mbpp_python_1,clean_schema_mismatch,MLP27,1.125,0.0,1.125,0.0,False,False,False,False
mbpp_python_1,clean_schema_mismatch,L24H6,0.8823529411764706,0.45098039215686275,0.4313725490196078,0.5111111111111112,False,False,False,False
mbpp_python_1,clean_schema_mismatch,L21H12,0.9387254901960784,0.45588235294117646,0.48284313725490197,0.4856396866840731,False,False,False,False
mbpp_python_1,clean_schema_mismatch,L21H1,1.3026960784313726,0.6617647058823529,0.6409313725490197,0.5079962370649106,False,False,True,False
mbpp_python_1,clean_schema_mismatch,MLP19,0.35784313725490197,0.28431372549019607,0.0735294117647059,0.7945205479452054,False,False,False,False
mbpp_python_1,clean_schema_mismatch,MLP16,0.6421568627450981,0.30392156862745096,0.33823529411764713,0.4732824427480915,False,False,False,False
mbpp_python_1,clean_schema_mismatch,L23H6,0.7450980392156863,0.35784313725490197,0.3872549019607843,0.48026315789473684,False,False,False,False
mbpp_python_1,clean_schema_mismatch,L17H8,0.8725490196078431,0.45588235294117646,0.4166666666666667,0.5224719101123595,False,False,False,False
mbpp_python_1,clean_no_protocol,MLP27,3.5980392156862746,0.0,3.5980392156862746,0.0,False,False,False,False
mbpp_python_1,clean_no_protocol,L24H6,3.656862745098039,1.9215686274509804,1.7352941176470587,0.5254691689008043,False,False,False,False
mbpp_python_1,clean_no_protocol,L21H12,2.784313725490196,1.588235294117647,1.196078431372549,0.5704225352112676,False,False,False,False
mbpp_python_1,clean_no_protocol,L21H1,4.137254901960785,2.3529411764705883,1.7843137254901964,0.5687203791469194,False,False,False,False
mbpp_python_1,clean_no_protocol,MLP19,0.7647058823529411,0.35294117647058826,0.41176470588235287,0.4615384615384616,False,False,False,False
mbpp_python_1,clean_no_protocol,MLP16,-0.0392156862745098,0.0392156862745098,-0.0784313725490196,-1.0,False,False,False,False
mbpp_python_1,clean_no_protocol,L23H6,1.6862745098039216,0.9411764705882353,0.7450980392156863,0.5581395348837209,False,False,False,False
mbpp_python_1,clean_no_protocol,L17H8,1.0588235294117647,0.5882352941176471,0.47058823529411764,0.5555555555555556,False,False,False,False
codecontests_java_2,corrupt_full,MLP27,0.8628472222222222,0.0,0.8628472222222222,0.0,False,False,False,False
codecontests_java_2,corrupt_full,L24H6,0.6782407407407407,0.3194444444444444,0.3587962962962963,0.4709897610921502,False,False,False,False
codecontests_java_2,corrupt_full,L21H12,0.6666666666666666,0.3472222222222222,0.3194444444444444,0.5208333333333334,False,False,False,False
codecontests_java_2,corrupt_full,L21H1,0.5833333333333334,0.2916666666666667,0.2916666666666667,0.5,False,False,False,False
codecontests_java_2,corrupt_full,MLP19,0.2777777777777778,0.14351851851851852,0.13425925925925927,0.5166666666666666,False,False,False,False
codecontests_java_2,corrupt_full,MLP16,0.19444444444444445,0.18981481481481483,0.0046296296296296224,0.9761904761904763,False,False,False,False
codecontests_java_2,corrupt_full,L23H6,0.5555555555555556,0.2824074074074074,0.2731481481481482,0.5083333333333333,False,False,False,False
codecontests_java_2,corrupt_full,L17H8,0.13425925925925927,0.05555555555555555,0.07870370370370372,0.4137931034482758,False,False,False,False
codecontests_java_2,clean_no_schema,MLP27,0.5983796296296297,0.0,0.5983796296296297,0.0,True,False,True,False
codecontests_java_2,clean_no_schema,L24H6,0.5405092592592593,0.30324074074074076,0.23726851851851855,0.5610278372591007,False,False,False,False
codecontests_java_2,clean_no_schema,L21H12,0.6108217592592593,0.34953703703703703,0.26128472222222227,0.5722406442444339,True,False,True,False
codecontests_java_2,clean_no_schema,L21H1,0.5335648148148148,0.25925925925925924,0.2743055555555555,0.4859002169197397,False,False,False,False
codecontests_java_2,clean_no_schema,MLP19,0.6258680555555556,0.3923611111111111,0.23350694444444448,0.6269070735090152,True,False,True,False
codecontests_java_2,clean_no_schema,MLP16,0.375,0.18287037037037038,0.19212962962962962,0.4876543209876543,False,False,False,False
codecontests_java_2,clean_no_schema,L23H6,0.5034722222222222,0.24768518518518517,0.25578703703703703,0.4919540229885057,False,False,False,False
codecontests_java_2,clean_no_schema,L17H8,0.30092592592592593,0.1412037037037037,0.15972222222222224,0.4692307692307692,False,False,False,False
codecontests_java_2,clean_schema_mismatch,MLP27,0.3346354166666667,0.0,0.3346354166666667,0.0,True,False,True,False
codecontests_java_2,clean_schema_mismatch,L24H6,0.2337962962962963,0.11574074074074074,0.11805555555555557,0.49504950495049505,False,False,False,False
codecontests_java_2,clean_schema_mismatch,L21H12,0.3169849537037037,0.18287037037037038,0.13411458333333334,0.5769055225924236,True,False,True,False
codecontests_java_2,clean_schema_mismatch,L21H1,0.2757523148148148,0.13194444444444445,0.14380787037037038,0.47848898216159497,True,False,True,False
codecontests_java_2,clean_schema_mismatch,MLP19,0.09606481481481481,0.06597222222222222,0.030092592592592587,0.6867469879518072,False,False,False,False
codecontests_java_2,clean_schema_mismatch,MLP16,-0.0763888888888889,-0.009259259259259259,-0.06712962962962964,0.1212121212121212,False,False,False,False
codecontests_java_2,clean_schema_mismatch,L23H6,0.2037037037037037,0.09606481481481481,0.10763888888888888,0.4715909090909091,False,False,False,False
codecontests_java_2,clean_schema_mismatch,L17H8,0.14583333333333334,0.05439814814814815,0.0914351851851852,0.37301587301587297,False,False,False,False
codecontests_java_2,clean_no_protocol,MLP27,2.2314814814814814,0.0,2.2314814814814814,0.0,False,False,False,False
codecontests_java_2,clean_no_protocol,L24H6,2.0972222222222223,1.0925925925925926,1.0046296296296298,0.5209713024282561,False,False,False,False
codecontests_java_2,clean_no_protocol,L21H12,1.787037037037037,0.9907407407407407,0.7962962962962963,0.5544041450777202,False,False,False,False
codecontests_java_2,clean_no_protocol,L21H1,2.0416666666666665,1.0462962962962963,0.9953703703703702,0.5124716553287982,False,False,False,False
codecontests_java_2,clean_no_protocol,MLP19,-0.16666666666666666,-0.12962962962962962,-0.037037037037037035,0.7777777777777778,False,False,False,False
codecontests_java_2,clean_no_protocol,MLP16,0.16666666666666666,0.12962962962962962,0.037037037037037035,0.7777777777777778,False,False,False,False
codecontests_java_2,clean_no_protocol,L23H6,0.9259259259259259,0.5,0.42592592592592593,0.54,False,False,False,False
codecontests_java_2,clean_no_protocol,L17H8,0.16666666666666666,0.07407407407407407,0.09259259259259259,0.4444444444444444,False,False,False,False
codecontests_cpp_3,corrupt_full,MLP27,0.8247950819672131,0.0,0.8247950819672131,0.0,False,False,False,False
codecontests_cpp_3,corrupt_full,L24H6,0.5573770491803278,0.26229508196721313,0.2950819672131147,0.4705882352941177,False,False,False,False
codecontests_cpp_3,corrupt_full,L21H12,0.6413934426229508,0.3114754098360656,0.32991803278688525,0.48562300319488816,False,False,False,False
codecontests_cpp_3,corrupt_full,L21H1,0.7295081967213115,0.3319672131147541,0.39754098360655743,0.45505617977528084,False,False,False,False
codecontests_cpp_3,corrupt_full,MLP19,0.7233606557377049,0.4344262295081967,0.2889344262295082,0.6005665722379603,False,False,False,False
codecontests_cpp_3,corrupt_full,MLP16,0.5901639344262295,0.36475409836065575,0.22540983606557374,0.6180555555555556,False,False,False,False
codecontests_cpp_3,corrupt_full,L23H6,0.5225409836065574,0.26229508196721313,0.2602459016393443,0.5019607843137255,False,False,False,False
codecontests_cpp_3,corrupt_full,L17H8,0.26639344262295084,0.09016393442622951,0.17622950819672134,0.3384615384615384,False,False,False,False
codecontests_cpp_3,clean_no_schema,MLP27,1.1639344262295082,0.0,1.1639344262295082,0.0,False,False,False,False
codecontests_cpp_3,clean_no_schema,L24H6,0.9713114754098361,0.45901639344262296,0.5122950819672132,0.47257383966244726,False,False,False,False
codecontests_cpp_3,clean_no_schema,L21H12,1.0081967213114753,0.4918032786885246,0.5163934426229507,0.48780487804878053,False,False,False,False
codecontests_cpp_3,clean_no_schema,L21H1,0.8319672131147541,0.4016393442622951,0.430327868852459,0.4827586206896552,False,False,False,False
codecontests_cpp_3,clean_no_schema,MLP19,1.1454918032786885,0.6885245901639344,0.4569672131147541,0.6010733452593918,False,False,False,False
codecontests_cpp_3,clean_no_schema,MLP16,0.8073770491803278,0.5122950819672131,0.29508196721311475,0.6345177664974619,False,False,False,False
codecontests_cpp_3,clean_no_schema,L23H6,0.8483606557377049,0.39344262295081966,0.45491803278688525,0.463768115942029,False,False,False,False
codecontests_cpp_3,clean_no_schema,L17H8,0.5901639344262295,0.3114754098360656,0.2786885245901639,0.5277777777777778,False,False,False,False
codecontests_cpp_3,clean_schema_mismatch,MLP27,1.6926229508196722,0.0,1.6926229508196722,0.0,False,False,False,False
codecontests_cpp_3,clean_schema_mismatch,L24H6,1.1762295081967213,0.5409836065573771,0.6352459016393442,0.4599303135888502,False,False,False,False
codecontests_cpp_3,clean_schema_mismatch,L21H12,1.5102459016393444,0.7868852459016393,0.723360655737705,0.5210312075983717,False,False,False,False
codecontests_cpp_3,clean_schema_mismatch,L21H1,1.1270491803278688,0.5655737704918032,0.5614754098360656,0.5018181818181818,False,False,False,False
codecontests_cpp_3,clean_schema_mismatch,MLP19,0.7786885245901639,0.3442622950819672,0.4344262295081967,0.4421052631578947,False,False,False,False
codecontests_cpp_3,clean_schema_mismatch,MLP16,0.1885245901639344,0.13114754098360656,0.05737704918032785,0.6956521739130436,False,False,False,False
codecontests_cpp_3,clean_schema_mismatch,L23H6,0.8770491803278688,0.4016393442622951,0.47540983606557374,0.45794392523364486,False,False,False,False
codecontests_cpp_3,clean_schema_mismatch,L17H8,0.48360655737704916,0.27049180327868855,0.21311475409836061,0.5593220338983051,False,False,False,False
codecontests_cpp_3,clean_no_protocol,MLP27,3.0081967213114753,0.0,3.0081967213114753,0.0,False,False,False,False
codecontests_cpp_3,clean_no_protocol,L24H6,2.7540983606557377,1.4426229508196722,1.3114754098360655,0.5238095238095238,False,False,False,False
codecontests_cpp_3,clean_no_protocol,L21H12,2.3852459016393444,1.3114754098360655,1.0737704918032789,0.549828178694158,False,False,False,False
codecontests_cpp_3,clean_no_protocol,L21H1,2.680327868852459,1.3770491803278688,1.3032786885245902,0.5137614678899083,False,False,False,False
codecontests_cpp_3,clean_no_protocol,MLP19,-0.32786885245901637,-0.32786885245901637,0.0,1.0,False,False,False,False
codecontests_cpp_3,clean_no_protocol,MLP16,-1.3114754098360655,-0.6885245901639344,-0.6229508196721311,0.525,False,False,False,False
codecontests_cpp_3,clean_no_protocol,L23H6,1.3442622950819672,0.7213114754098361,0.6229508196721311,0.5365853658536586,False,False,False,False
codecontests_cpp_3,clean_no_protocol,L17H8,0.7868852459016393,0.4262295081967213,0.36065573770491804,0.5416666666666666,False,False,False,False
codecontests_java_3,corrupt_full,MLP27,0.8940033783783784,0.0,0.8940033783783784,0.0,False,False,False,False
codecontests_java_3,corrupt_full,L24H6,0.7027027027027027,0.3344594594594595,0.36824324324324326,0.4759615384615385,False,False,False,False
codecontests_java_3,corrupt_full,L21H12,0.9442567567567568,0.5506756756756757,0.39358108108108114,0.5831842576028622,True,False,True,False
codecontests_java_3,corrupt_full,L21H1,0.6706081081081081,0.3344594594594595,0.33614864864864863,0.4987405541561713,False,False,False,False
codecontests_java_3,corrupt_full,MLP19,0.6233108108108109,0.34797297297297297,0.2753378378378379,0.5582655826558265,False,False,False,False
codecontests_java_3,corrupt_full,MLP16,0.6013513513513513,0.36486486486486486,0.23648648648648646,0.6067415730337079,False,False,False,False
codecontests_java_3,corrupt_full,L23H6,0.6908783783783784,0.35135135135135137,0.33952702702702703,0.508557457212714,False,False,False,False
codecontests_java_3,corrupt_full,L17H8,0.5337837837837838,0.25,0.28378378378378377,0.46835443037974683,False,False,False,False
codecontests_java_3,clean_no_schema,MLP27,1.1258445945945945,0.0,1.1258445945945945,0.0,False,False,False,False
codecontests_java_3,clean_no_schema,L24H6,0.9763513513513513,0.4831081081081081,0.4932432432432432,0.4948096885813149,False,False,False,False
codecontests_java_3,clean_no_schema,L21H12,1.179054054054054,0.6385135135135135,0.5405405405405405,0.5415472779369628,False,False,False,False
codecontests_java_3,clean_no_schema,L21H1,0.8665540540540541,0.4189189189189189,0.44763513513513514,0.4834307992202729,False,False,False,False
codecontests_java_3,clean_no_schema,MLP19,1.0929054054054055,0.6114864864864865,0.48141891891891897,0.5595054095826894,False,False,False,False
codecontests_java_3,clean_no_schema,MLP16,0.7668918918918919,0.42905405405405406,0.33783783783783783,0.5594713656387665,False,False,False,False
codecontests_java_3,clean_no_schema,L23H6,0.893581081081081,0.42905405405405406,0.464527027027027,0.4801512287334594,False,False,False,False
codecontests_java_3,clean_no_schema,L17H8,0.4966216216216216,0.23648648648648649,0.2601351351351351,0.4761904761904762,False,False,False,False
codecontests_java_3,clean_schema_mismatch,MLP27,0.20861486486486486,0.0,0.20861486486486486,0.0,True,False,True,False
codecontests_java_3,clean_schema_mismatch,L24H6,0.17145270270270271,0.10430743243243243,0.06714527027027029,0.6083743842364532,True,False,True,False
codecontests_java_3,clean_schema_mismatch,L21H12,0.20964421452702703,0.17694256756756757,0.03270164695945946,0.844013596877754,True,True,True,True
